vineyard_id, location,area_size,soil_type,vine_id,harvest_id
100,north  plot,150,sandy,100,100
101,south plot,150,gravel,101,101
102,south plot,250,sandy,102,102
103,north  plot,200,gravel,103,103
104,south plot,250,sandy,104,104
105,east plot,200,gravel,105,105
106,south plot,100,gravel,106,106
107,east plot,100,gravel,107,107
108,south plot,100,sandy,108,108
109,south plot,200,sandy,109,109
110,south plot,200,gravel,110,110
111,south plot,200,sandy,111,111
112,north  plot,100,gravel,112,112
113,east plot,100,sandy,113,113
114,north  plot,150,sandy,114,114
115,south plot,150,gravel,115,115
116,south plot,200,sandy,116,116
117,north  plot,100,sandy,117,117
118,east plot,200,gravel,118,118
119,north  plot,200,sandy,119,119
120,north  plot,100,sandy,120,120
121,north  plot,150,gravel,121,121
122,east plot,200,sandy,122,122
123,south plot,150,gravel,123,123
124,east plot,200,sandy,124,124
125,south plot,150,gravel,125,125
126,north  plot,150,sandy,126,126
127,east plot,150,sandy,127,127
128,east plot,150,sandy,128,128
129,east plot,200,gravel,129,129
130,north  plot,150,sandy,130,130
131,north  plot,200,gravel,131,131
132,south plot,100,gravel,132,132
133,north  plot,150,sandy,133,133
134,north  plot,100,sandy,134,134
135,east plot,100,gravel,135,135
136,east plot,150,gravel,136,136
137,north  plot,150,gravel,137,137
138,east plot,150,sandy,138,138
139,north  plot,100,gravel,139,139
140,north  plot,250,gravel,140,140
141,south plot,100,sandy,141,141
142,east plot,250,sandy,142,142
143,south plot,200,gravel,143,143
144,south plot,200,sandy,144,144
145,north  plot,200,sandy,145,145
146,east plot,150,sandy,146,146
147,east plot,150,sandy,147,147
148,south plot,100,gravel,148,148
149,east plot,200,sandy,149,149
150,south plot,150,gravel,150,150
151,south plot,250,sandy,151,151
152,north  plot,200,sandy,152,152
153,east plot,250,sandy,153,153
154,east plot,100,sandy,154,154
155,north  plot,200,sandy,155,155
156,south plot,150,gravel,156,156
157,east plot,200,sandy,157,157
158,east plot,100,sandy,158,158
159,east plot,100,gravel,159,159
160,north  plot,200,sandy,160,160
161,east plot,200,sandy,161,161
162,north  plot,200,gravel,162,162
163,south plot,100,gravel,163,163
164,east plot,100,sandy,164,164
165,north  plot,250,gravel,165,165
166,north  plot,150,gravel,166,166
167,north  plot,250,gravel,167,167
168,east plot,200,gravel,168,168
169,north  plot,150,sandy,169,169
170,east plot,150,gravel,170,170
171,east plot,250,sandy,171,171
172,east plot,150,gravel,172,172
173,south plot,250,sandy,173,173
174,south plot,250,gravel,174,174
175,south plot,250,gravel,175,175
176,south plot,200,gravel,176,176
177,south plot,200,gravel,177,177
178,north  plot,200,gravel,178,178
179,east plot,100,gravel,179,179
180,south plot,100,sandy,180,180
181,south plot,100,gravel,181,181
182,south plot,250,sandy,182,182
183,east plot,250,sandy,183,183
184,east plot,100,gravel,184,184
185,east plot,150,gravel,185,185
186,north  plot,250,gravel,186,186
187,east plot,200,sandy,187,187
188,south plot,250,gravel,188,188
189,south plot,250,gravel,189,189
190,south plot,250,gravel,190,190
191,south plot,250,gravel,191,191
192,east plot,150,gravel,192,192
193,south plot,250,sandy,193,193
194,south plot,100,sandy,194,194
195,north  plot,250,sandy,195,195
196,east plot,150,sandy,196,196
197,north  plot,150,sandy,197,197
198,north  plot,100,gravel,198,198
199,north  plot,200,gravel,199,199
200,north  plot,150,gravel,200,200
201,east plot,200,sandy,201,201
202,south plot,100,gravel,202,202
203,north  plot,100,gravel,203,203
204,north  plot,200,sandy,204,204
205,east plot,150,sandy,205,205
206,south plot,250,sandy,206,206
207,east plot,150,sandy,207,207
208,east plot,200,sandy,208,208
209,south plot,150,sandy,209,209
210,north  plot,200,sandy,210,210
211,south plot,250,sandy,211,211
212,south plot,100,gravel,212,212
213,south plot,150,sandy,213,213
214,south plot,100,gravel,214,214
215,east plot,200,gravel,215,215
216,east plot,100,sandy,216,216
217,north  plot,200,gravel,217,217
218,north  plot,100,gravel,218,218
219,south plot,150,gravel,219,219
220,north  plot,200,sandy,220,220
221,north  plot,150,gravel,221,221
222,east plot,150,gravel,222,222
223,south plot,250,sandy,223,223
224,north  plot,200,gravel,224,224
225,east plot,150,sandy,225,225
226,east plot,150,gravel,226,226
227,east plot,200,gravel,227,227
228,south plot,250,sandy,228,228
229,south plot,100,sandy,229,229
230,north  plot,250,sandy,230,230
231,south plot,100,gravel,231,231
232,east plot,150,gravel,232,232
233,north  plot,200,gravel,233,233
234,north  plot,200,sandy,234,234
235,north  plot,250,gravel,235,235
236,north  plot,150,gravel,236,236
237,east plot,250,sandy,237,237
238,east plot,100,gravel,238,238
239,north  plot,250,sandy,239,239
240,south plot,150,gravel,240,240
241,east plot,250,gravel,241,241
242,south plot,150,gravel,242,242
243,north  plot,100,gravel,243,243
244,south plot,250,sandy,244,244
245,north  plot,100,gravel,245,245
246,east plot,100,sandy,246,246
247,east plot,250,gravel,247,247
248,north  plot,150,gravel,248,248
249,east plot,150,sandy,249,249
250,east plot,250,sandy,250,250
251,east plot,200,sandy,251,251
252,east plot,150,sandy,252,252
253,south plot,150,sandy,253,253
254,east plot,200,sandy,254,254
255,east plot,150,gravel,255,255
256,east plot,150,sandy,256,256
257,north  plot,150,sandy,257,257
258,east plot,100,sandy,258,258
259,south plot,250,sandy,259,259
260,east plot,100,sandy,260,260
261,south plot,100,gravel,261,261
262,south plot,250,sandy,262,262
263,south plot,150,sandy,263,263
264,north  plot,100,sandy,264,264
265,east plot,200,gravel,265,265
266,south plot,100,gravel,266,266
267,north  plot,250,gravel,267,267
268,south plot,200,sandy,268,268
269,north  plot,200,sandy,269,269
270,south plot,100,sandy,270,270
271,north  plot,100,sandy,271,271
272,north  plot,100,sandy,272,272
273,east plot,250,gravel,273,273
274,south plot,150,sandy,274,274
275,south plot,100,sandy,275,275
276,east plot,200,sandy,276,276
277,north  plot,250,sandy,277,277
278,north  plot,150,gravel,278,278
279,east plot,200,sandy,279,279
280,south plot,100,sandy,280,280
281,east plot,200,gravel,281,281
282,south plot,250,sandy,282,282
283,east plot,200,sandy,283,283
284,south plot,100,sandy,284,284
285,north  plot,200,gravel,285,285
286,north  plot,100,gravel,286,286
287,east plot,250,gravel,287,287
288,south plot,100,gravel,288,288
289,east plot,250,sandy,289,289
290,south plot,200,sandy,290,290
291,south plot,150,sandy,291,291
292,south plot,100,gravel,292,292
293,east plot,150,sandy,293,293
294,south plot,150,gravel,294,294
295,south plot,250,sandy,295,295
296,south plot,100,gravel,296,296
297,east plot,100,sandy,297,297
298,east plot,100,gravel,298,298
299,north  plot,100,sandy,299,299
300,east plot,250,gravel,300,300
301,east plot,200,gravel,301,301
302,south plot,200,gravel,302,302
303,north  plot,250,sandy,303,303
304,east plot,100,sandy,304,304
305,south plot,200,sandy,305,305
306,south plot,250,gravel,306,306
307,east plot,250,gravel,307,307
308,south plot,100,sandy,308,308
309,north  plot,100,gravel,309,309
310,east plot,150,sandy,310,310
311,north  plot,100,sandy,311,311
312,south plot,150,sandy,312,312
313,east plot,100,sandy,313,313
314,north  plot,150,sandy,314,314
315,south plot,200,sandy,315,315
316,north  plot,200,sandy,316,316
317,south plot,150,sandy,317,317
318,north  plot,150,sandy,318,318
319,east plot,200,sandy,319,319
320,south plot,100,gravel,320,320
321,south plot,250,sandy,321,321
322,north  plot,150,sandy,322,322
323,east plot,100,gravel,323,323
324,south plot,200,gravel,324,324
325,north  plot,150,gravel,325,325
326,north  plot,100,gravel,326,326
327,south plot,100,gravel,327,327
328,east plot,200,sandy,328,328
329,south plot,250,gravel,329,329
330,north  plot,200,sandy,330,330
331,east plot,200,gravel,331,331
332,north  plot,200,sandy,332,332
333,south plot,200,gravel,333,333
334,east plot,100,gravel,334,334
335,south plot,250,gravel,335,335
336,south plot,250,gravel,336,336
337,south plot,250,gravel,337,337
338,north  plot,200,sandy,338,338
339,north  plot,250,gravel,339,339
340,north  plot,150,sandy,340,340
341,south plot,200,sandy,341,341
342,east plot,200,gravel,342,342
343,south plot,100,sandy,343,343
344,east plot,100,gravel,344,344
345,north  plot,100,gravel,345,345
346,east plot,200,gravel,346,346
347,north  plot,250,sandy,347,347
348,south plot,250,gravel,348,348
349,east plot,150,gravel,349,349
350,east plot,200,sandy,350,350
351,east plot,100,gravel,351,351
352,north  plot,150,sandy,352,352
353,north  plot,100,gravel,353,353
354,north  plot,250,gravel,354,354
355,east plot,200,sandy,355,355
356,north  plot,150,gravel,356,356
357,east plot,150,sandy,357,357
358,north  plot,200,gravel,358,358
359,south plot,150,gravel,359,359
360,north  plot,200,gravel,360,360
361,east plot,100,sandy,361,361
362,south plot,150,gravel,362,362
363,south plot,150,sandy,363,363
364,south plot,200,sandy,364,364
365,east plot,100,sandy,365,365
366,north  plot,200,sandy,366,366
367,north  plot,150,sandy,367,367
368,south plot,100,gravel,368,368
369,north  plot,250,sandy,369,369
370,south plot,200,gravel,370,370
371,north  plot,150,gravel,371,371
372,east plot,100,gravel,372,372
373,south plot,150,gravel,373,373
374,east plot,200,gravel,374,374
375,north  plot,100,gravel,375,375
376,east plot,200,gravel,376,376
377,north  plot,200,gravel,377,377
378,east plot,250,sandy,378,378
379,north  plot,200,gravel,379,379
380,north  plot,250,sandy,380,380
381,south plot,200,sandy,381,381
382,east plot,200,sandy,382,382
383,east plot,100,gravel,383,383
384,north  plot,250,sandy,384,384
385,east plot,150,sandy,385,385
386,north  plot,150,gravel,386,386
387,south plot,250,gravel,387,387
388,north  plot,150,sandy,388,388
389,east plot,200,gravel,389,389
390,south plot,200,sandy,390,390
391,east plot,200,sandy,391,391
392,east plot,200,gravel,392,392
393,south plot,250,sandy,393,393
394,north  plot,250,sandy,394,394
395,north  plot,250,sandy,395,395
396,south plot,200,gravel,396,396
397,east plot,100,sandy,397,397
398,north  plot,100,gravel,398,398
399,south plot,250,gravel,399,399
400,north  plot,100,gravel,400,400
401,north  plot,200,sandy,401,401
402,south plot,250,gravel,402,402
403,east plot,200,gravel,403,403
404,east plot,100,gravel,404,404
405,south plot,200,gravel,405,405
406,east plot,150,sandy,406,406
407,south plot,200,gravel,407,407
408,east plot,150,sandy,408,408
409,north  plot,200,gravel,409,409
410,east plot,250,gravel,410,410
411,north  plot,250,gravel,411,411
412,north  plot,100,gravel,412,412
413,south plot,100,gravel,413,413
414,north  plot,150,gravel,414,414
415,north  plot,200,sandy,415,415
416,north  plot,150,sandy,416,416
417,east plot,100,sandy,417,417
418,north  plot,150,sandy,418,418
419,north  plot,250,gravel,419,419
420,south plot,250,sandy,420,420
421,south plot,250,gravel,421,421
422,north  plot,250,gravel,422,422
423,south plot,200,sandy,423,423
424,north  plot,200,sandy,424,424
425,east plot,150,sandy,425,425
426,east plot,100,sandy,426,426
427,north  plot,250,gravel,427,427
428,north  plot,100,gravel,428,428
429,north  plot,250,gravel,429,429
430,north  plot,100,gravel,430,430
431,east plot,200,sandy,431,431
432,east plot,150,sandy,432,432
433,north  plot,100,gravel,433,433
434,east plot,100,sandy,434,434
435,south plot,250,gravel,435,435
436,north  plot,150,sandy,436,436
437,north  plot,250,gravel,437,437
438,north  plot,250,gravel,438,438
439,north  plot,250,sandy,439,439
440,south plot,200,gravel,440,440
441,east plot,250,gravel,441,441
442,east plot,200,sandy,442,442
443,north  plot,250,gravel,443,443
444,east plot,200,gravel,444,444
445,east plot,150,gravel,445,445
446,north  plot,250,sandy,446,446
447,north  plot,200,gravel,447,447
448,east plot,250,gravel,448,448
449,east plot,250,sandy,449,449
450,south plot,150,sandy,450,450
451,east plot,100,sandy,451,451
452,east plot,100,gravel,452,452
453,east plot,150,sandy,453,453
454,east plot,200,sandy,454,454
455,north  plot,250,sandy,455,455
456,east plot,250,gravel,456,456
457,east plot,250,sandy,457,457
458,east plot,200,gravel,458,458
459,south plot,250,sandy,459,459
460,east plot,200,gravel,460,460
461,north  plot,150,gravel,461,461
462,east plot,150,gravel,462,462
463,south plot,100,gravel,463,463
464,north  plot,150,sandy,464,464
465,east plot,250,sandy,465,465
466,north  plot,150,sandy,466,466
467,south plot,150,gravel,467,467
468,east plot,100,sandy,468,468
469,south plot,200,sandy,469,469
470,south plot,200,sandy,470,470
471,north  plot,150,gravel,471,471
472,south plot,100,sandy,472,472
473,south plot,200,sandy,473,473
474,south plot,250,sandy,474,474
475,north  plot,250,gravel,475,475
476,east plot,100,sandy,476,476
477,south plot,100,sandy,477,477
478,east plot,200,gravel,478,478
479,north  plot,150,sandy,479,479
480,south plot,200,sandy,480,480
481,south plot,250,gravel,481,481
482,north  plot,150,gravel,482,482
483,north  plot,250,gravel,483,483
484,south plot,250,gravel,484,484
485,south plot,200,gravel,485,485
486,east plot,250,gravel,486,486
487,east plot,200,gravel,487,487
488,east plot,200,gravel,488,488
489,north  plot,250,sandy,489,489
490,east plot,150,gravel,490,490
491,north  plot,150,gravel,491,491
492,south plot,200,sandy,492,492
493,south plot,250,gravel,493,493
494,south plot,150,gravel,494,494
495,east plot,150,sandy,495,495
496,south plot,250,sandy,496,496
497,south plot,200,gravel,497,497
498,south plot,200,sandy,498,498
499,south plot,100,gravel,499,499
